parents,has_nurs,form_st,children,housing,health,target
usual,proper,complete,1,convenient,recommended,recommend
usual,proper,complete,1,convenient,priority,priority
usual,proper,complete,1,convenient,not_recom,not_recom
usual,proper,complete,1,convenient,recommended,recommend
usual,proper,complete,1,convenient,priority,priority
usual,proper,complete,1,convenient,not_recom,not_recom
usual,proper,complete,1,convenient,recommended,priority
usual,proper,complete,1,convenient,priority,priority
usual,proper,complete,1,convenient,not_recom,not_recom
usual,proper,complete,1,convenient,recommended,very_recom
usual,proper,complete,1,convenient,priority,priority
usual,proper,complete,1,convenient,not_recom,not_recom
usual,proper,complete,1,convenient,recommended,very_recom
usual,proper,complete,1,convenient,priority,priority
usual,proper,complete,1,convenient,not_recom,not_recom
usual,proper,complete,1,convenient,recommended,priority
usual,proper,complete,1,convenient,priority,priority
usual,proper,complete,1,convenient,not_recom,not_recom
usual,proper,complete,1,less_conv,recommended,very_recom
usual,proper,complete,1,less_conv,priority,priority
usual,proper,complete,1,less_conv,not_recom,not_recom
usual,proper,complete,1,less_conv,recommended,very_recom
usual,proper,complete,1,less_conv,priority,priority
usual,proper,complete,1,less_conv,not_recom,not_recom
usual,proper,complete,1,less_conv,recommended,priority
usual,proper,complete,1,less_conv,priority,priority
usual,proper,complete,1,less_conv,not_recom,not_recom
usual,proper,complete,1,less_conv,recommended,very_recom
usual,proper,complete,1,less_conv,priority,priority
usual,proper,complete,1,less_conv,not_recom,not_recom
usual,proper,complete,1,less_conv,recommended,very_recom
usual,proper,complete,1,less_conv,priority,priority
usual,proper,complete,1,less_conv,not_recom,not_recom
usual,proper,complete,1,less_conv,recommended,priority
usual,proper,complete,1,less_conv,priority,priority
usual,proper,complete,1,less_conv,not_recom,not_recom
usual,proper,complete,1,critical,recommended,very_recom
usual,proper,complete,1,critical,priority,priority
usual,proper,complete,1,critical,not_recom,not_recom
usual,proper,complete,1,critical,recommended,very_recom
usual,proper,complete,1,critical,priority,priority
usual,proper,complete,1,critical,not_recom,not_recom
usual,proper,complete,1,critical,recommended,priority
usual,proper,complete,1,critical,priority,priority
usual,proper,complete,1,critical,not_recom,not_recom
usual,proper,complete,1,critical,recommended,very_recom
usual,proper,complete,1,critical,priority,priority
usual,proper,complete,1,critical,not_recom,not_recom
usual,proper,complete,1,critical,recommended,very_recom
usual,proper,complete,1,critical,priority,priority
usual,proper,complete,1,critical,not_recom,not_recom
usual,proper,complete,1,critical,recommended,priority
usual,proper,complete,1,critical,priority,priority
usual,proper,complete,1,critical,not_recom,not_recom
usual,proper,complete,2,convenient,recommended,very_recom
usual,proper,complete,2,convenient,priority,priority
usual,proper,complete,2,convenient,not_recom,not_recom
usual,proper,complete,2,convenient,recommended,very_recom
usual,proper,complete,2,convenient,priority,priority
usual,proper,complete,2,convenient,not_recom,not_recom
usual,proper,complete,2,convenient,recommended,priority
usual,proper,complete,2,convenient,priority,priority
usual,proper,complete,2,convenient,not_recom,not_recom
usual,proper,complete,2,convenient,recommended,very_recom
usual,proper,complete,2,convenient,priority,priority
usual,proper,complete,2,convenient,not_recom,not_recom
usual,proper,complete,2,convenient,recommended,very_recom
usual,proper,complete,2,convenient,priority,priority
usual,proper,complete,2,convenient,not_recom,not_recom
usual,proper,complete,2,convenient,recommended,priority
usual,proper,complete,2,convenient,priority,priority
usual,proper,complete,2,convenient,not_recom,not_recom
usual,proper,complete,2,less_conv,recommended,very_recom
usual,proper,complete,2,less_conv,priority,priority
usual,proper,complete,2,less_conv,not_recom,not_recom
usual,proper,complete,2,less_conv,recommended,very_recom
usual,proper,complete,2,less_conv,priority,priority
usual,proper,complete,2,less_conv,not_recom,not_recom
usual,proper,complete,2,less_conv,recommended,priority
usual,proper,complete,2,less_conv,priority,priority
usual,proper,complete,2,less_conv,not_recom,not_recom
usual,proper,complete,2,less_conv,recommended,very_recom
usual,proper,complete,2,less_conv,priority,priority
usual,proper,complete,2,less_conv,not_recom,not_recom
usual,proper,complete,2,less_conv,recommended,very_recom
usual,proper,complete,2,less_conv,priority,priority
usual,proper,complete,2,less_conv,not_recom,not_recom
usual,proper,complete,2,less_conv,recommended,priority
usual,proper,complete,2,less_conv,priority,priority
usual,proper,complete,2,less_conv,not_recom,not_recom
usual,proper,complete,2,critical,recommended,priority
usual,proper,complete,2,critical,priority,priority
usual,proper,complete,2,critical,not_recom,not_recom
usual,proper,complete,2,critical,recommended,priority
usual,proper,complete,2,critical,priority,priority
usual,proper,complete,2,critical,not_recom,not_recom
usual,proper,complete,2,critical,recommended,priority
usual,proper,complete,2,critical,priority,priority
usual,proper,complete,2,critical,not_recom,not_recom
usual,proper,complete,2,critical,recommended,priority
usual,proper,complete,2,critical,priority,priority
usual,proper,complete,2,critical,not_recom,not_recom
usual,proper,complete,2,critical,recommended,priority
usual,proper,complete,2,critical,priority,priority
usual,proper,complete,2,critical,not_recom,not_recom
usual,proper,complete,2,critical,recommended,priority
usual,proper,complete,2,critical,priority,priority
usual,proper,complete,2,critical,not_recom,not_recom
usual,proper,complete,3,convenient,recommended,very_recom
usual,proper,complete,3,convenient,priority,priority
usual,proper,complete,3,convenient,not_recom,not_recom
usual,proper,complete,3,convenient,recommended,very_recom
usual,proper,complete,3,convenient,priority,priority
usual,proper,complete,3,convenient,not_recom,not_recom
usual,proper,complete,3,convenient,recommended,priority
usual,proper,complete,3,convenient,priority,priority
usual,proper,complete,3,convenient,not_recom,not_recom
usual,proper,complete,3,convenient,recommended,priority
usual,proper,complete,3,convenient,priority,priority
usual,proper,complete,3,convenient,not_recom,not_recom
usual,proper,complete,3,convenient,recommended,priority
usual,proper,complete,3,convenient,priority,priority
usual,proper,complete,3,convenient,not_recom,not_recom
usual,proper,complete,3,convenient,recommended,priority
usual,proper,complete,3,convenient,priority,priority
usual,proper,complete,3,convenient,not_recom,not_recom
usual,proper,complete,3,less_conv,recommended,priority
usual,proper,complete,3,less_conv,priority,priority
usual,proper,complete,3,less_conv,not_recom,not_recom
usual,proper,complete,3,less_conv,recommended,priority
usual,proper,complete,3,less_conv,priority,priority
usual,proper,complete,3,less_conv,not_recom,not_recom
usual,proper,complete,3,less_conv,recommended,priority
usual,proper,complete,3,less_conv,priority,priority
usual,proper,complete,3,less_conv,not_recom,not_recom
usual,proper,complete,3,less_conv,recommended,priority
usual,proper,complete,3,less_conv,priority,priority
usual,proper,complete,3,less_conv,not_recom,not_recom
usual,proper,complete,3,less_conv,recommended,priority
usual,proper,complete,3,less_conv,priority,priority
usual,proper,complete,3,less_conv,not_recom,not_recom
usual,proper,complete,3,less_conv,recommended,priority
usual,proper,complete,3,less_conv,priority,priority
usual,proper,complete,3,less_conv,not_recom,not_recom
usual,proper,complete,3,critical,recommended,priority
usual,proper,complete,3,critical,priority,priority
usual,proper,complete,3,critical,not_recom,not_recom
usual,proper,complete,3,critical,recommended,priority
usual,proper,complete,3,critical,priority,priority
usual,proper,complete,3,critical,not_recom,not_recom
usual,proper,complete,3,critical,recommended,priority
usual,proper,complete,3,critical,priority,priority
usual,proper,complete,3,critical,not_recom,not_recom
usual,proper,complete,3,critical,recommended,priority
usual,proper,complete,3,critical,priority,priority
usual,proper,complete,3,critical,not_recom,not_recom
usual,proper,complete,3,critical,recommended,priority
usual,proper,complete,3,critical,priority,priority
usual,proper,complete,3,critical,not_recom,not_recom
usual,proper,complete,3,critical,recommended,priority
usual,proper,complete,3,critical,priority,priority
usual,proper,complete,3,critical,not_recom,not_recom
usual,proper,complete,more,convenient,recommended,very_recom
usual,proper,complete,more,convenient,priority,priority
usual,proper,complete,more,convenient,not_recom,not_recom
usual,proper,complete,more,convenient,recommended,very_recom
usual,proper,complete,more,convenient,priority,priority
usual,proper,complete,more,convenient,not_recom,not_recom
